ABACO,Instrumento antiguo para contar
TUTOR,Persona que guia a un menor
UBICA,Forma verbal de ubicar
UFANO,Satisfecho
ULTRA,Extremista
UNCIR,Atar al yugo
UNICO,Solo de su clase
UNIDA,Junta sin separacion
UNION,Juntar dos o mas cosas
UNIRA,Forma verbal de unir
URDIR,Preparar hilos telar
URGIR,Tener prisa
URNAS,Plural de vasija ceremonial
USADO,Ya utilizado
USTED,Forma respetuosa de ti
VACAS,Plural de hembra bovina
VACIA,Sin nada dentro
VACIO,Sin nada dentro
VAGAR,Andar sin rumbo
VAGON,Carro del tren
VAHOS,Plural de vapor
VAINA,Funda o cascara
VALER,Tener valor
VALES,Plural de cupon
VALET,Criado personal
VALIA,Forma verbal de valer
VALLA,Barrera que delimita
VALLE,Terreno bajo entre montes
VAMOS,Forma verbal de ir
VANAS,Plural de vacia
VAPOR,Gas de liquido caliente
VARAS,Plural de palo
VARIA,Forma verbal de variar
VARIO,Diverso
VARON,Hombre de sexo masculino
VASOS,Plural de recipiente
VATIO,Unidad de potencia electrica
VECES,Plural de ocasion
VEIAN,Forma verbal de ver
VEJEZ,Edad avanzada
VELAR,Cuidar en noche
VELAS,Plural de cera con pecho
VELOZ,Rapido
VENAS,Plural de conducto sanguineo
VENDA,Tira para herida
VENDO,Forma verbal de vender
VENGA,Forma verbal de venir
VENIR,Ir hacia aqui
VENTA,Accion de vender
VEOSE,Forma verbal de ver
VERBO,Palabra de accion
VERDE,Color de la hierba
VERJA,Reja artistica
VERSO,Linea de un poema
VESPA,Moto italiana pequena
VIAJE,Desplazamiento largo
VICIO,Mal habito
VIDAS,Plural de existencia
VIDEO,Imagen con movimiento
VIEJA,De muchos anos
VIEJO,De muchos anos
VIENE,Forma verbal de venir
VIGAS,Plural de soporte largo
VIGIA,Persona que vigila
VILLA,Pueblo o casa grande
VIOLA,Instrumento de cuerda
VIRAL,Relativo a virus
VIRAR,Cambiar de direccion
VIRGO,Signo del zodiaco
VIRUS,Agente infeccioso minusculo
VISTA,Sentido de los ojos
VISTE,Forma verbal de ver
VISOR,Aparato para mirar
VITAL,De vida
VIUDA,Mujer sin esposo fallecido
VIUDO,Hombre sin esposa fallecida
VIVAS,Plural de viva
VIVAZ,Con mucha energia
VIVIR,Tener vida
VIVOS,Plural de con vida
VOCAL,Consonante no
VOCES,Plural de sonido de la boca
VOLAR,Desplazarse por el aire
VOLEI,Deporte con red alta
VOTAR,Expresar preferencia
VOTOS,Plural de sufragio
VUELO,Accion de volar
YATES,Plural de barco de recreo
YEMAS,Plural de parte del huevo
YERBA,Hierba en forma popular
YUCAS,Plural de tuberculo tropical
ZAGAL,Pastor joven
ZANJA,Excavacion larga en tierra
ZARPA,Garra de animal
ZOCOS,Plural de mercado arabe
ZONAL,Relativo a zona
ZONAS,Plural de area
ZORRA,Hembra del zorro
ZORRO,Mamifero astuto
ZUMOS,Plural de liquido de fruta
ZURCE,Forma verbal de zurcir
ZURDO,Que usa mano izquierda
